,genre
tt0076759,"['action', 'adventure', 'science-fiction']"
tt0266543,"['animation', 'family']"
tt0109830,"['comedy', 'drama', 'romance']"
tt0325980,"['action', 'adventure', 'fantasy']"
tt0383574,"['action', 'adventure', 'fantasy']"
tt0082971,"['action', 'adventure']"
tt0087469,"['action', 'adventure']"
tt0097576,"['action', 'adventure']"
tt0172495,"['action', 'adventure', 'drama']"
tt0100405,"['comedy', 'romance']"
tt0367594,"['adventure', 'comedy', 'fantasy', 'family']"
tt0120737,"['action', 'adventure', 'fantasy']"
tt0167261,"['action', 'adventure', 'fantasy']"
tt0167260,"['action', 'adventure', 'fantasy']"
tt0119698,"['adventure', 'fantasy', 'anime']"
tt0245429,"['fantasy', 'family', 'anime']"
tt0388795,"['drama', 'romance']"
tt0099487,"['drama', 'fantasy', 'romance']"
tt0082100,"['comedy', 'romance', 'drama']"
tt0066921,"['science-fiction', 'crime']"
tt0112573,"['action', 'drama', 'history', 'war']"
tt0367882,"['action', 'adventure']"
tt0071562,"['crime', 'drama']"
tt0380599,"['drama', 'family', 'crime']"
tt0086879,"['drama', 'history', 'music']"
tt0449088,"['action', 'adventure', 'fantasy']"
tt0119643,"['drama', 'fantasy', 'romance']"
tt0315327,"['comedy', 'fantasy']"
tt0107290,"['adventure', 'science-fiction']"
tt0119567,"['action', 'adventure', 'science-fiction']"
tt0163025,"['action', 'adventure', 'science-fiction', 'thriller']"
tt0458352,"['comedy', 'drama']"
tt0095953,['drama']
tt0029583,"['animation', 'fantasy', 'family']"
tt0363771,"['drama', 'fantasy', 'science-fiction', 'action', 'adventure']"
tt0253474,"['drama', 'war']"
tt0108052,"['drama', 'history', 'war']"
tt0268380,"['adventure', 'animation', 'comedy', 'family']"
tt0058331,"['comedy', 'fantasy', 'family', 'musical']"
tt0319262,"['action', 'adventure', 'science-fiction', 'thriller']"
tt0195685,['drama']
tt0120689,"['crime', 'drama', 'fantasy']"
tt0314331,"['comedy', 'drama', 'romance', 'holiday']"
tt0125439,"['comedy', 'romance']"
tt0120616,"['action', 'adventure', 'fantasy']"
tt0198781,"['animation', 'comedy', 'family']"
tt0362227,"['comedy', 'drama']"
tt0120338,"['drama', 'romance']"
tt0119654,"['action', 'adventure', 'comedy', 'science-fiction', 'superhero']"
tt0120912,"['action', 'comedy', 'science-fiction', 'superhero']"
tt0103855,"['action', 'drama', 'romance']"
tt0087332,"['comedy', 'fantasy']"
tt0118799,"['comedy', 'drama']"
tt0264464,"['crime', 'drama']"
tt0332452,"['adventure', 'history', 'war', 'action']"
tt0241527,"['adventure', 'fantasy']"
tt0295297,"['adventure', 'fantasy']"
tt0304141,"['adventure', 'fantasy']"
tt0330373,"['adventure', 'fantasy']"
tt0373889,"['adventure', 'fantasy']"
tt0290002,"['comedy', 'romance']"
tt0109831,"['comedy', 'drama', 'romance']"
tt0074103,['comedy']
tt0417741,"['adventure', 'fantasy']"
tt0099785,"['comedy', 'family', 'holiday']"
tt0107614,"['comedy', 'drama', 'family']"
tt0048434,"['documentary', 'war']"
tt0114369,"['crime', 'mystery', 'thriller']"
tt0126029,"['adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt0298148,"['adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt0413267,"['adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt0103639,"['adventure', 'animation', 'fantasy', 'romance', 'family', 'musical']"
tt0203009,"['drama', 'romance', 'musical', 'music']"
tt0096438,"['animation', 'comedy', 'crime', 'fantasy']"
tt0114709,"['animation', 'comedy', 'family', 'adventure']"
tt0120363,"['animation', 'comedy', 'family']"
tt0102057,"['adventure', 'comedy', 'fantasy', 'family']"
tt0032553,"['comedy', 'war']"
tt0317219,"['adventure', 'animation', 'comedy', 'family']"
tt0438097,"['adventure', 'animation', 'comedy', 'family']"
tt0351283,"['animation', 'family', 'adventure', 'comedy']"
tt0453451,"['comedy', 'family']"
tt0416449,"['action', 'adventure', 'war']"
tt0450188,"['drama', 'music', 'musical']"
tt0457430,"['drama', 'fantasy', 'war']"
tt0212346,"['action', 'comedy', 'crime']"
tt0337978,"['action', 'thriller', 'holiday']"
tt0457939,"['comedy', 'romance']"
tt0332379,"['comedy', 'music']"
